08/12/2020, 11:21:58
RngSeed: 1607426513132
BUYER_STOCK: 80
CTOFFER_STRATS: SMART, ABSTFT
ELASTICITIES: 30, 20, 10
NUM_BUYERS: 80
NUM_SELLERS: 80
OFFER_STRATS: SMART, ABSTFT
PATIENCES: 100, 50
PICKING_STRATS: SMART, NAIVE
PRODUCT_NAME: vinil
PRODUCT_PRICE: 100
SCAM_FACTORS: 100, 75, 50, 25
SELLER_STOCK: 80

"tick", "Scam ≤ 25", "Scam ≤ 50", "Scam ≤ 75", "Scam ≤ 100"
100.0, 0.0, 0.0, 0.0, 0.0
200.0, 0.0, 0.0, 0.0, 0.0
300.0, 0.0, 0.0, 0.0, 0.0
400.0, 0.0, 0.0, 0.0, 0.0
500.0, 0.0, 0.0, 0.0, 0.0
600.0, 0.0, 0.0, 0.0, 0.0
700.0, 0.0, 0.0, 0.0, 0.0
800.0, 0.0, 0.0, 0.0, 0.0
900.0, 0.0, 0.0, 0.0, 0.0
